Scenario,Network Profile,Success Rate (%),Physical Steps (Ticks),Cloud API Calls,Device API Calls,Total API Calls,Cloud Tokens,Device Tokens,Total Tokens,Computation Time (s),Memory (Colab Limit MB)
Inspection,Gradual,85.00 ± 10.46,189.00 ± 24.60,5.60 ± 3.58,27.60 ± 13.11,33.20 ± 14.08,N/A,N/A,6225.20 ± 2600.90,3.45 ± 0.24,12288.00 ± 0.00
Inspection,Oscillatory,85.00 ± 5.59,200.00 ± 0.00,40.00 ± 73.97,92.60 ± 66.64,132.60 ± 139.45,N/A,N/A,35543.80 ± 43769.73,4.45 ± 1.13,12288.00 ± 0.00
Inspection,Stable,82.50 ± 24.37,170.60 ± 26.96,63.20 ± 115.32,50.00 ± 51.78,113.20 ± 164.13,N/A,N/A,35997.00 ± 59085.15,3.62 ± 1.82,12288.00 ± 0.00
Inspection,Sudden,92.50 ± 6.85,193.60 ± 8.88,77.60 ± 99.06,97.00 ± 96.27,174.60 ± 194.94,N/A,N/A,50487.40 ± 60615.53,4.65 ± 1.24,12288.00 ± 0.00
Logistics,Gradual,86.66 ± 7.46,173.40 ± 59.48,5.60 ± 2.19,25.20 ± 9.78,30.80 ± 9.26,N/A,N/A,4494.00 ± 1063.26,1.95 ± 0.78,12288.00 ± 0.00
Logistics,Oscillatory,90.00 ± 14.91,165.60 ± 43.67,12.80 ± 12.13,54.40 ± 21.42,67.20 ± 30.48,N/A,N/A,11481.60 ± 5859.33,1.84 ± 0.34,12288.00 ± 0.00
Logistics,Stable,66.67 ± 20.41,200.00 ± 0.00,44.80 ± 86.83,37.40 ± 39.31,82.20 ± 125.35,N/A,N/A,20418.60 ± 34878.82,2.46 ± 0.64,12288.00 ± 0.00
Logistics,Sudden,83.33 ± 16.67,178.60 ± 29.56,8.80 ± 8.67,49.80 ± 28.01,58.60 ± 27.79,N/A,N/A,8402.80 ± 3737.54,2.12 ± 0.48,12288.00 ± 0.00
Search & Rescue,Gradual,84.00 ± 15.17,199.80 ± 0.45,4.00 ± 0.00,24.80 ± 14.70,28.80 ± 14.70,N/A,N/A,8409.80 ± 2969.67,7.83 ± 0.72,12288.00 ± 0.00
Search & Rescue,Oscillatory,92.00 ± 4.47,179.00 ± 46.96,4.80 ± 1.79,71.40 ± 37.14,76.20 ± 38.91,N/A,N/A,22010.80 ± 9866.83,6.68 ± 1.96,12288.00 ± 0.00
Search & Rescue,Stable,88.00 ± 13.04,160.40 ± 56.61,5.60 ± 3.58,28.80 ± 17.67,34.40 ± 20.44,N/A,N/A,8627.40 ± 2825.35,5.88 ± 2.37,12288.00 ± 0.00
Search & Rescue,Sudden,82.00 ± 10.95,194.60 ± 12.07,5.60 ± 3.58,83.40 ± 23.68,89.00 ± 24.58,N/A,N/A,22734.20 ± 8576.63,7.57 ± 0.92,12288.00 ± 0.00
